"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Singapore","","Strength","-","94.36"
"2","New Zealand","","Strength","-","93.44"
"3","Hong Kong (China)","","Strength","-","92.71"
"4","Finland","","Strength","-","92.18"
"5","Norway","","Strength","-","91.80"
"6","Denmark","","Strength","-","91.43"
"7","Canada","","","-","90.99"
"8","Switzerland","","","-","89.47"
"9","United Kingdom","","","-","88.44"
"10","Sweden","","","-","88.31"
"11","Netherlands","","","-","88.24"
"12","Ireland","","","-","87.62"
"13","Japan","","","-","87.43"
"14","Australia","","","-","87.37"
"15","Austria","","","-","87.12"
"16","Iceland","","","-","86.61"
"17","United States of America","","","-","86.25"
"18","Germany","","","-","83.53"
"19","Luxembourg","","","-","82.57"
"20","Estonia","","","-","81.08"
"21","Cyprus","","","-","81.04"
"22","Slovenia","","","-","80.88"
"23","Portugal","","","-","80.85"
"24","France","","","-","80.65"
"25","United Arab Emirates","","","-","80.59"
"26","Belgium","","","-","80.53"
"27","Mauritius","","Strength","-","80.01"
"28","Latvia","","","-","77.77"
"29","Malta","","","-","77.64"
"30","Czech Republic","","","-","77.63"
"31","Brunei Darussalam","","","-","77.20"
"32","Spain","","","-","75.87"
"33","Poland","","","-","75.63"
"34","Slovakia","","","-","74.53"
"35","Korea, Republic of","","","-","74.48"
"36","Lithuania","","","-","74.05"
"37","Qatar","","","-","72.80"
"38","Italy","","","-","71.92"
"39","Oman","","Strength","-","71.82"
"40","Hungary","","","-","70.69"
"41","Chile","","","-","70.35"
"42","Croatia","","","-","69.33"
"43","Romania","","","-","68.97"
"44","Uruguay","","","-","68.95"
"45","TFYR Macedonia","","","-","68.88"
"46","Botswana","","","-","68.58"
"47","Georgia","","","-","68.57"
"48","Montenegro","","","-","68.37"
"49","Israel","","","-","67.85"
"50","Serbia","","","-","67.67"
"51","Bahrain","","","-","67.33"
"52","Bulgaria","","","-","67.13"
"53","Malaysia","","","-","67.03"
"54","South Africa","","","-","66.28"
"55","Kazakhstan","","","-","66.07"
"56","Costa Rica","","","-","66.02"
"57","Jamaica","","","-","65.79"
"58","Namibia","","","-","65.23"
"59","Greece","","","-","65.17"
"60","Mongolia","","","-","64.62"
"61","Rwanda","","","-","63.54"
"62","Albania","","","-","63.30"
"63","Armenia","","","-","61.92"
"64","Jordan","","","-","61.60"
"65","Trinidad and Tobago","","","-","60.70"
"66","Panama","","","-","60.51"
"67","Peru","","","-","58.73"
"68","Mexico","","","-","58.55"
"69","Colombia","","","-","58.51"
"70","Morocco","","","-","58.07"
"71","Bosnia and Herzegovina","","","-","56.82"
"72","Moldova, Republic of","","","-","56.41"
"73","Russian Federation","","","-","56.07"
"74","Azerbaijan","","","-","55.94"
"75","Thailand","","","-","55.79"
"76","Kuwait","","","-","55.79"
"77","Tunisia","","","-","54.90"
"78","China","","","-","54.80"
"79","Uganda","","","-","54.61"
"80","Senegal","","","-","54.53"
"81","Belarus","","","-","54.12"
"82","Benin","","","-","54.01"
"83","Tanzania, United Republic of","","","-","53.87"
"84","Kenya","","","-","53.78"
"85","El Salvador","","","-","53.53"
"86","Burkina Faso","","","-","53.45"
"87","Viet Nam","","","-","52.79"
"88","Saudi Arabia","","","-","52.44"
"89","Philippines","","","-","51.95"
"90","Dominican Republic","","","-","51.77"
"91","Brazil","","","-","51.76"
"92","India","","","-","51.37"
"93","Malawi","","","-","51.29"
"94","Cote dIvoire","","","-","51.01"
"95","Turkey","","","-","50.65"
"96","Togo","","","-","49.38"
"97","Niger","","","-","49.20"
"98","Cambodia","","","-","49.10"
"99","Madagascar","","","-","48.74"
"100","Lebanon","","","-","47.94"
"101","Ukraine","","","-","47.90"
"102","Kyrgyzstan","","","-","47.62"
"103","Algeria","","","-","47.04"
"104","Zambia","","","-","46.92"
"105","Paraguay","","","-","46.87"
"106","Iran, Islamic Republic of","","","-","46.58"
"107","Guatemala","","","-","46.51"
"108","Tajikistan","","","-","46.37"
"109","Argentina","","","-","46.37"
"110","Mali","","","-","45.95"
"111","Sri Lanka","","Weakness","-","45.26"
"112","Guinea","","","-","45.01"
"113","Mozambique","","","-","44.56"
"114","Ethiopia","","","-","43.92"
"115","Nepal","","","-","43.92"
"116","Ecuador","","","-","43.29"
"117","Honduras","","Weakness","-","43.21"
"118","Burundi","","","-","43.18"
"119","Cameroon","","Weakness","-","42.28"
"120","Indonesia","","Weakness","-","41.22"
"121","Egypt","","Weakness","-","40.43"
"122","Bangladesh","","Weakness","-","40.33"
"123","Nigeria","","Weakness","-","39.60"
"124","Pakistan","","Weakness","-","38.02"
"125","Zimbabwe","","Weakness","-","35.69"
"126","Yemen","","","-","30.57"
"127","Bolivia, Plurinational State of","","Weakness","-","29.84"
