"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Finland","","Strength","-","66.51"
"2","Singapore","","Strength","-","64.86"
"3","Korea, Rep.","","Strength","-","64.12"
"4","United Arab Emirates","","","-","62.06"
"5","Israel","","","-","61.94"
"6","Sweden","","Strength","-","61.89"
"7","Australia","","","-","61.85"
"8","Austria","","Strength","-","61.51"
"9","Denmark","","Strength","-","61.48"
"10","United Kingdom","","","-","60.29"
"11","United States of America","","","-","58.34"
"12","Switzerland","","","-","56.66"
"13","Canada","","","-","56.36"
"14","Germany","","","-","56.26"
"15","France","","","-","55.86"
"16","New Zealand","","","-","55.53"
"17","Japan","","","-","54.36"
"18","Ireland","","","-","53.22"
"19","Norway","","","-","52.65"
"20","Belgium","","","-","51.73"
"21","Portugal","","","-","51.28"
"22","Netherlands","","","-","50.45"
"23","Hong Kong (China)","","","-","49.47"
"24","Iceland","","","-","49.40"
"25","Slovenia","","","-","49.22"
"26","Spain","","","-","48.25"
"27","Luxembourg","","","-","47.17"
"28","Estonia","","","-","46.32"
"29","Czech Republic","","","-","45.71"
"30","Russian Federation","","","-","44.53"
"31","Greece","","","-","43.50"
"32","China","","","-","43.42"
"33","Italy","","","-","42.08"
"34","Lithuania","","","-","41.59"
"35","Malaysia","","","-","41.56"
"36","Thailand","","","-","41.09"
"37","Montenegro","","","-","40.73"
"38","Belarus","","","-","39.78"
"39","Cyprus","","","-","39.41"
"40","Fiji","","","-","38.91"
"41","Argentina","","","-","38.25"
"42","Hungary","","","-","37.91"
"43","Poland","","","-","37.89"
"44","Tunisia","","","-","37.85"
"45","Ukraine","","","-","36.56"
"46","Iran, Islamic Rep.","","","-","36.37"
"47","Saudi Arabia","","","-","35.61"
"48","Croatia","","","-","35.29"
"49","Malta","","","-","34.55"
"50","Lebanon","","","-","34.37"
"51","Latvia","","","-","34.11"
"52","The Former Yugoslav Republic (FYR) of Macedonia","","","-","33.76"
"53","Qatar","","","-","33.55"
"54","Turkey","","","-","33.31"
"55","Slovakia","","","-","32.94"
"56","Mexico","","","-","32.46"
"57","Chile","","","-","32.43"
"58","Barbados","","","-","31.57"
"59","Serbia","","","-","31.52"
"60","Venezuela, Bolivarian Rep.","","","-","31.23"
"61","Bulgaria","","","-","31.23"
"62","Brazil","","","-","31.12"
"63","Kazakhstan","","","-","30.01"
"64","Morocco","","","-","29.73"
"65","Colombia","","","-","29.45"
"66","Kyrgyzstan","","","-","29.43"
"67","Uruguay","","","-","29.42"
"68","Trinidad and Tobago","","","-","29.18"
"69","Romania","","","-","29.05"
"70","South Africa","","","-","28.67"
"71","Moldova, Rep.","","","-","28.57"
"72","Jordan","","","-","28.30"
"73","Oman","","","-","28.25"
"74","Bolivia, Plurinational St.","","","-","28.13"
"75","Egypt","","","-","27.81"
"76","Peru","","","-","27.21"
"77","Uzbekistan","","","-","27.10"
"78","Bahrain","","","-","26.97"
"79","Mongolia","","","-","26.89"
"80","Mauritius","","","-","25.86"
"81","Lesotho","","Strength","-","25.50"
"82","Algeria","","","-","25.45"
"83","Paraguay","","","-","25.31"
"84","Jamaica","","","-","25.09"
"85","Botswana","","","-","25.08"
"86","Panama","","","-","25.07"
"87","Costa Rica","","","-","25.04"
"88","Tajikistan","","","-","24.38"
"89","Viet Nam","","","-","24.18"
"90","Georgia","","","-","23.45"
"91","Kuwait","","","-","23.25"
"92","Indonesia","","","-","22.83"
"93","Albania","","","-","22.80"
"94","Ghana","","","-","22.79"
"95","Brunei Darussalam","","","-","22.67"
"96","India","","","-","22.65"
"97","Seychelles","","","-","21.57"
"98","Ecuador","","","-","21.55"
"99","Armenia","","","-","21.36"
"100","Azerbaijan","","","-","20.95"
"101","Mozambique","","","-","20.48"
"102","Rwanda","","","-","20.38"
"103","Honduras","","","-","19.74"
"104","Namibia","","","-","19.28"
"105","El Salvador","","","-","18.49"
"106","Swaziland","","","-","18.37"
"107","Bosnia and Herzegovina","","Strength","-","18.07"
"108","Benin","","","-","18.06"
"109","Cabo Verde","","Strength","-","17.95"
"110","Cameroon","","","-","17.89"
"111","Burundi","","","-","17.54"
"112","Myanmar","","","-","17.44"
"113","Guatemala","","","-","17.30"
"114","Uganda","","","-","17.26"
"115","Sri Lanka","","","-","17.14"
"116","Bhutan","","","-","17.03"
"117","Kenya","","","-","15.85"
"118","Gambia","","","-","15.50"
"119","Nepal","","","-","15.48"
"120","Yemen","","","-","15.48"
"121","Philippines","","","-","15.15"
"122","Burkina Faso","","","-","14.94"
"123","Senegal","","","-","14.67"
"124","Madagascar","","","-","14.47"
"125","Togo","","","-","14.45"
"126","Bangladesh","","Weakness","-","14.11"
"127","Cambodia","","","-","14.10"
"128","Mali","","","-","13.95"
"129","Angola","","","-","13.75"
"130","Guyana","","","-","13.52"
"131","Cote dIvoire","","","-","12.97"
"132","Tanzania, United Rep.","","","-","12.68"
"133","Zimbabwe","","Weakness","-","12.38"
"134","Nigeria","","Weakness","-","12.21"
"135","Niger","","","-","11.83"
"136","Malawi","","","-","11.66"
"137","Ethiopia","","","-","11.36"
"138","Nicaragua","","Weakness","-","10.46"
"139","Pakistan","","Weakness","-","9.82"
"140","Guinea","","","-","7.72"
"141","Sudan","","Strength","-","7.56"
"142","Dominican Republic","","","-","7.12"
"143","Zambia","","Weakness","-","3.61"
