"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Hong Kong (China)","Strength","Strength","-","68.91"
"2","Norway","Strength","Strength","-","67.55"
"3","Sweden","Strength","Strength","-","67.07"
"4","Ireland","Strength","Strength","-","66.72"
"5","Singapore","Strength","","-","65.80"
"6","Malta","Strength","","-","65.80"
"7","United Kingdom","Strength","","-","65.75"
"8","Switzerland","","","-","65.31"
"9","Japan","","","-","63.95"
"10","France","","Strength","-","62.93"
"11","Spain","","Strength","-","62.82"
"12","Austria","","Strength","-","62.75"
"13","Korea, Republic of","","","-","62.74"
"14","Netherlands","","","-","62.44"
"15","Denmark","","","-","62.31"
"16","Australia","","","-","62.24"
"17","Finland","","","-","61.99"
"18","Italy","","","-","61.54"
"19","Germany","","","-","60.54"
"20","Canada","","","-","60.18"
"21","Estonia","","","-","60.18"
"22","New Zealand","","","-","59.36"
"23","Luxembourg","Weakness","","-","58.80"
"24","United States of America","Weakness","","-","58.78"
"25","Israel","Weakness","","-","58.61"
"26","Iceland","Weakness","","-","58.51"
"27","Qatar","","","-","58.03"
"28","United Arab Emirates","","","-","57.39"
"29","China","Weakness","","-","56.84"
"30","Belgium","Weakness","","-","56.48"
"31","Czech Republic","","","-","55.16"
"32","Lithuania","","","-","54.56"
"33","Bahrain","","","-","54.07"
"34","Croatia","Strength","","-","53.81"
"35","Slovenia","","","-","53.59"
"36","Slovakia","","","-","53.32"
"37","Portugal","","","-","53.04"
"38","Romania","Strength","","-","52.52"
"39","Panama","Strength","","-","52.22"
"40","Colombia","Strength","","-","51.42"
"41","Poland","","","-","50.95"
"42","Uruguay","","","-","50.65"
"43","Malaysia","Strength","","-","50.39"
"44","Bulgaria","Strength","","-","50.18"
"45","Latvia","Weakness","","-","50.17"
"46","Kuwait","Weakness","Strength","-","49.83"
"47","Brunei Darussalam","Weakness","","-","49.74"
"48","Serbia","","","-","49.63"
"49","Hungary","Weakness","","-","49.56"
"50","Morocco","Strength","","-","49.50"
"51","Saudi Arabia","Weakness","","-","49.38"
"52","Turkey","","","-","49.33"
"53","Chile","Weakness","","-","48.93"
"54","Oman","Weakness","","-","48.34"
"55","Cyprus","Weakness","","-","48.14"
"56","Mexico","","","-","47.98"
"57","Montenegro","","","-","47.80"
"58","Sri Lanka","Strength","","-","47.58"
"59","Greece","Weakness","","-","46.96"
"60","Costa Rica","","","-","46.32"
"61","Kazakhstan","","","-","45.38"
"62","Albania","","","-","45.31"
"63","Russian Federation","","","-","45.21"
"64","Brazil","","","-","45.09"
"65","Mauritius","","","-","44.90"
"66","Azerbaijan","","","-","44.42"
"67","Philippines","Strength","","-","43.60"
"68","Argentina","","","-","43.37"
"69","Peru","","","-","43.19"
"70","Tunisia","Strength","","-","43.06"
"71","Georgia","","","-","42.55"
"72","Thailand","","","-","42.28"
"73","Belarus","","","-","42.20"
"74","Dominican Republic","","","-","41.98"
"75","Ecuador","","","-","41.64"
"76","Mongolia","","","-","41.44"
"77","India","","","-","40.44"
"78","Viet Nam","","","-","40.36"
"79","Jordan","","","-","40.35"
"80","Algeria","","","-","40.28"
"81","Moldova, Republic of","","","-","39.88"
"82","Indonesia","","","-","39.84"
"83","TFYR Macedonia","","","-","39.59"
"84","South Africa","","","-","39.36"
"85","Paraguay","","","-","38.72"
"86","Lebanon","","","-","38.51"
"87","Iran, Islamic Republic of","Weakness","","-","38.32"
"88","Uganda","Strength","","-","38.27"
"89","Ukraine","","","-","38.08"
"90","Egypt","","","-","37.88"
"91","Rwanda","Strength","","-","36.78"
"92","Botswana","Weakness","","-","36.77"
"93","Armenia","","","-","36.47"
"94","Kyrgyzstan","","","-","35.95"
"95","Namibia","Weakness","","-","35.75"
"96","Bangladesh","","","-","35.55"
"97","Zambia","","","-","34.98"
"98","Trinidad and Tobago","Weakness","","-","34.60"
"99","Bosnia and Herzegovina","Weakness","","-","34.46"
"100","Nepal","Strength","","-","34.05"
"101","Bolivia, Plurinational State of","","","-","33.93"
"102","El Salvador","","","-","33.91"
"103","Kenya","","","-","33.53"
"104","Tanzania, United Republic of","","","-","32.82"
"105","Guatemala","","","-","32.49"
"106","Ghana","","","-","32.08"
"107","Mozambique","","","-","31.98"
"108","Jamaica","Weakness","","-","31.56"
"109","Senegal","","","-","31.33"
"110","Honduras","","","-","30.76"
"111","Pakistan","Weakness","","-","26.92"
"112","Burkina Faso","","","-","26.63"
"113","Niger","","","-","26.52"
"114","Nigeria","Weakness","","-","26.48"
"115","Guinea","","","-","26.36"
"116","Malawi","","","-","26.34"
"117","Togo","","","-","25.91"
"118","Mali","","","-","25.60"
"119","Cambodia","Weakness","Weakness","-","25.31"
"120","Côte d'Ivoire","Weakness","Weakness","-","24.63"
"121","Benin","Weakness","","-","22.77"
"122","Cameroon","Weakness","Weakness","-","22.42"
"123","Madagascar","Weakness","Weakness","-","22.30"
"124","Tajikistan","Weakness","Weakness","-","21.34"
"125","Yemen","Weakness","","-","21.17"
"126","Zimbabwe","Weakness","Weakness","-","20.33"
