"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","United States of America","","Strength","-","83.78"
"2","United Kingdom","","Strength","-","81.43"
"3","Hong Kong (China)","","Strength","-","79.71"
"4","Singapore","","","-","78.15"
"5","Canada","","Strength","-","75.88"
"6","Switzerland","","","-","74.75"
"7","Ireland","","Strength","-","70.25"
"8","New Zealand","","Strength","-","68.91"
"9","Sweden","","","-","68.19"
"10","Australia","","Strength","-","68.06"
"11","Denmark","","Strength","-","67.78"
"12","Israel","","","-","67.51"
"13","Japan","","","-","66.84"
"14","Korea, Rep.","","","-","65.44"
"15","Spain","","Strength","-","64.69"
"16","Cyprus","","","-","64.42"
"17","Malaysia","","","-","63.94"
"18","South Africa","","Strength","-","63.81"
"19","Netherlands","","","-","63.57"
"20","Mauritius","","Strength","-","63.02"
"21","Albania","","Strength","-","61.94"
"22","Finland","","","-","61.37"
"23","Tajikistan","","Strength","-","61.32"
"24","France","","","-","61.01"
"25","Germany","","","-","60.13"
"26","Azerbaijan","","","-","59.92"
"27","Rwanda","","","-","59.41"
"28","Saudi Arabia","","","-","59.00"
"29","Peru","","Strength","-","58.54"
"30","Belgium","","","-","58.52"
"31","Norway","","","-","57.91"
"32","Austria","","","-","57.23"
"33","Mongolia","","","-","57.20"
"34","Thailand","","","-","56.90"
"35","Cambodia","","","-","55.84"
"36","Estonia","","","-","55.37"
"37","Georgia","","","-","55.19"
"38","Brunei Darussalam","","","-","54.69"
"39","The Former Yugoslav Republic (FYR) of Macedonia","","","-","54.59"
"40","Kenya","","","-","54.37"
"41","Iceland","","","-","54.09"
"42","Latvia","","","-","54.02"
"43","Kyrgyzstan","","","-","53.60"
"44","Chile","","","-","53.29"
"45","Portugal","","","-","53.17"
"46","Lithuania","","","-","52.11"
"47","Bosnia and Herzegovina","","","-","51.87"
"48","Colombia","","","-","51.76"
"49","Moldova, Rep.","","","-","51.43"
"50","India","","","-","51.22"
"51","Slovenia","","","-","51.11"
"52","Italy","","","-","51.00"
"53","Montenegro","","","-","50.56"
"54","China","","","-","50.45"
"55","Dominican Republic","","","-","50.39"
"56","Armenia","","","-","50.36"
"57","Paraguay","","","-","50.15"
"58","Mozambique","","","-","49.88"
"59","Luxembourg","","","-","49.65"
"60","Botswana","","","-","49.51"
"61","Guatemala","","","-","49.51"
"62","Czech Republic","","","-","49.08"
"63","Turkey","","","-","49.07"
"64","Honduras","","","-","48.89"
"65","Malta","","","-","48.87"
"66","Barbados","","","-","48.70"
"67","Slovakia","","","-","48.62"
"68","Bahrain","","","-","48.51"
"69","Trinidad and Tobago","","","-","48.36"
"70","Poland","","","-","48.24"
"71","Bolivia, Plurinational St.","","","-","48.16"
"72","Oman","","","-","48.13"
"73","Greece","","","-","47.91"
"74","Lesotho","","","-","47.52"
"75","Gambia","","Weakness","-","47.45"
"76","Burundi","","","-","47.28"
"77","Cabo Verde","","","-","47.28"
"78","Nicaragua","","","-","47.10"
"79","Kuwait","","","-","47.02"
"80","Zambia","","","-","46.99"
"81","Mexico","","","-","46.93"
"82","Fiji","","","-","46.80"
"83","Zimbabwe","","","-","46.35"
"84","Qatar","","","-","46.34"
"85","United Arab Emirates","","","-","46.24"
"86","Belarus","","","-","45.96"
"87","Bhutan","","","-","45.89"
"88","Indonesia","","","-","45.28"
"89","Brazil","","","-","45.19"
"90","Ukraine","","","-","45.14"
"91","Cameroon","","","-","45.01"
"92","Viet Nam","","","-","45.01"
"93","Philippines","","","-","44.84"
"94","Jamaica","","","-","44.62"
"95","Lebanon","","","-","44.59"
"96","Namibia","","","-","44.37"
"97","Bulgaria","","","-","44.17"
"98","Kazakhstan","","","-","44.15"
"99","Bangladesh","","","-","44.13"
"100","Panama","","","-","44.08"
"101","Nigeria","","","-","43.89"
"102","Uganda","","","-","43.67"
"103","Ecuador","","","-","43.66"
"104","Niger","","","-","43.24"
"105","Nepal","","","-","43.13"
"106","El Salvador","","","-","43.10"
"107","Angola","","","-","42.88"
"108","Romania","","","-","42.86"
"109","Morocco","","","-","42.81"
"110","Togo","","Strength","-","42.67"
"111","Russian Federation","","","-","42.53"
"112","Ghana","","","-","42.49"
"113","Croatia","","","-","42.48"
"114","Senegal","","","-","42.43"
"115","Hungary","","","-","42.13"
"116","Madagascar","","","-","41.79"
"117","Seychelles","","","-","41.74"
"118","Uzbekistan","","","-","41.15"
"119","Ethiopia","","","-","40.96"
"120","Yemen","","","-","40.74"
"121","Costa Rica","","","-","40.73"
"122","Burkina Faso","","","-","40.44"
"123","Guyana","","","-","40.43"
"124","Sri Lanka","","","-","40.18"
"125","Uruguay","","Weakness","-","39.99"
"126","Jordan","","","-","39.95"
"127","Tunisia","","Weakness","-","39.91"
"128","Malawi","","","-","39.61"
"129","Sudan","","","-","38.94"
"130","Mali","","","-","38.33"
"131","Swaziland","","","-","38.11"
"132","Argentina","","Weakness","-","37.73"
"133","Cote dIvoire","","","-","37.71"
"134","Serbia","","","-","37.04"
"135","Myanmar","","","-","36.93"
"136","Tanzania, United Rep.","","","-","36.61"
"137","Benin","","Weakness","-","36.48"
"138","Algeria","","","-","36.18"
"139","Iran, Islamic Rep.","","Weakness","-","35.94"
"140","Pakistan","","Weakness","-","35.80"
"141","Egypt","","Weakness","-","35.36"
"142","Guinea","","Weakness","-","32.49"
"143","Venezuela, Bolivarian Rep.","","Weakness","-","29.57"
