"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Singapore","","Strength","-","62.14"
"2","Luxembourg","","Strength","-","59.89"
"3","Switzerland","","Strength","-","57.57"
"4","Finland","","","-","57.34"
"5","Sweden","","Strength","-","56.78"
"6","Israel","","Strength","-","53.88"
"7","China","","","-","53.77"
"8","Ireland","","","-","53.76"
"9","Netherlands","","","-","53.75"
"10","Japan","","","-","52.76"
"11","United States of America","","","-","52.45"
"12","Hong Kong (China)","","","-","50.17"
"13","Korea, Republic of","","","-","50.15"
"14","United Kingdom","","","-","49.24"
"15","Germany","","","-","48.29"
"16","France","","","-","48.00"
"17","Denmark","","","-","47.86"
"18","Austria","","","-","47.62"
"19","Belgium","","","-","46.70"
"20","Canada","","","-","46.49"
"21","Norway","","","-","45.65"
"22","Iceland","","","-","45.34"
"23","Australia","","","-","45.02"
"24","United Arab Emirates","","","-","44.75"
"25","Malta","","","-","44.56"
"26","Czech Republic","","","-","42.86"
"27","Slovenia","","","-","42.52"
"28","Burkina Faso","","Strength","-","41.91"
"29","Malaysia","","","-","41.82"
"30","New Zealand","","","-","40.92"
"31","Estonia","","","-","40.73"
"32","Cyprus","","","-","40.62"
"33","Costa Rica","","","-","40.36"
"34","Hungary","","","-","40.07"
"35","Rwanda","","Strength","-","38.70"
"36","Italy","","","-","37.79"
"37","Russian Federation","","","-","37.54"
"38","Mozambique","","Strength","-","37.12"
"39","Brazil","","","-","37.01"
"40","Latvia","","","-","36.63"
"41","Chile","","","-","36.61"
"42","Cambodia","","Strength","-","36.51"
"43","Spain","","","-","36.48"
"44","Honduras","","Strength","-","36.19"
"45","Bulgaria","","","-","36.18"
"46","Montenegro","","","-","36.04"
"47","Malawi","","Strength","-","35.71"
"48","Lithuania","","","-","35.66"
"49","Thailand","","","-","35.27"
"50","Croatia","","","-","34.60"
"51","Poland","","","-","34.56"
"52","Slovakia","","","-","34.54"
"53","Portugal","","","-","34.53"
"54","Peru","","","-","32.90"
"55","Guatemala","","","-","32.38"
"56","South Africa","","","-","32.24"
"57","India","","","-","32.20"
"58","Bhutan","","","-","32.14"
"59","Bahrain","","","-","32.07"
"60","Dominican Republic","","","-","32.06"
"61","Uganda","","","-","31.93"
"62","Burundi","","","-","31.78"
"63","Lebanon","","","-","31.68"
"64","Kenya","","","-","31.56"
"65","The Former Yugoslav Republic (FYR) of Macedonia","","","-","31.52"
"66","Saudi Arabia","","","-","31.32"
"67","Nicaragua","","","-","31.18"
"68","Benin","","","-","31.00"
"69","Argentina","","","-","30.84"
"70","Colombia","","","-","30.84"
"71","Panama","","","-","30.70"
"72","Viet Nam","","","-","30.61"
"73","Ukraine","","","-","30.59"
"74","Philippines","","","-","30.30"
"75","Romania","","","-","30.16"
"76","Niger","","","-","30.01"
"77","Mexico","","","-","29.82"
"78","Qatar","","","-","29.35"
"79","Mali","","","-","29.16"
"80","Jamaica","","","-","28.84"
"81","Belarus","","","-","28.67"
"82","Armenia","","","-","28.62"
"83","El Salvador","","","-","28.62"
"84","Serbia","","","-","28.14"
"85","Mongolia","","","-","27.77"
"86","Turkey","","","-","27.56"
"87","Greece","","","-","27.16"
"88","Bosnia and Herzegovina","","","-","27.09"
"89","Moldova, Republic of","","","-","26.96"
"90","Georgia","","","-","26.54"
"91","Venezuela, Bolivarian Republic of","","","-","26.22"
"92","Ghana","","","-","26.18"
"93","Nepal","","","-","25.98"
"94","Mauritius","","","-","25.65"
"95","Uruguay","","","-","25.58"
"96","Kazakhstan","","","-","25.41"
"97","Pakistan","","","-","25.28"
"98","Bolivia, Plurinational State of","","","-","25.22"
"99","Paraguay","","","-","25.02"
"100","Senegal","","","-","24.99"
"101","Cameroon","","","-","24.93"
"102","Sri Lanka","","","-","24.80"
"103","Ecuador","","","-","24.25"
"104","Cote dIvoire","","","-","24.09"
"105","Botswana","","","-","23.91"
"106","Indonesia","","","-","23.74"
"107","Tunisia","","","-","23.67"
"108","Togo","","","-","23.44"
"109","Kyrgyzstan","","","-","23.33"
"110","Bangladesh","","","-","23.14"
"111","Iran, Islamic Republic of","","","-","22.84"
"112","Tanzania, United Republic of","","","-","22.82"
"113","Tajikistan","","","-","22.67"
"114","Albania","","","-","21.87"
"115","Ethiopia","","","-","21.60"
"116","Jordan","","Weakness","-","21.48"
"117","Namibia","","Weakness","-","21.35"
"118","Algeria","","","-","21.17"
"119","Guinea","","","-","21.10"
"120","Madagascar","","","-","20.47"
"121","Nigeria","","","-","20.09"
"122","Egypt","","Weakness","-","19.96"
"123","Azerbaijan","","Weakness","-","19.68"
"124","Oman","","Weakness","-","19.08"
"125","Morocco","","Weakness","-","18.28"
"126","Zambia","","Weakness","-","17.39"
"127","Isle of Man","","","-","16.67"
"127","Niue","","","-","16.67"
"127","Holy See (Vatican City State)","","","-","16.67"
"127","Northern Mariana Islands","","","-","16.67"
"127","Tokelau","","","-","16.67"
"127","Channel Islands","","","-","16.67"
"127","Saint Martin (French part)","","","-","16.67"
"127","Sudan (pre-secession)","","","-","16.67"
"127","Kuwait","","Weakness","-","12.89"
"127","Vanuatu","","","-","16.67"
"127","Guinea Bissau","","","-","16.67"
"127","Comoros","","","-","16.67"
"127","Papua New Guinea","","","-","16.67"
"127","Solomon Islands","","","-","16.67"
"127","Macao","","","-","16.67"
"127","Timor-Leste","","","-","16.67"
"127","Libya","","","-","16.67"
"127","Cuba","","","-","16.67"
"127","Bermuda","","","-","16.67"
"127","Taiwan, Province of China","","","-","16.67"
"127","Puerto Rico","","","-","16.67"
"127","Kiribati","","","-","16.67"
"127","Aruba","","","-","16.67"
"127","Equatorial Guinea","","","-","16.67"
"127","Turkmenistan","","","-","16.67"
"127","South Sudan","","","-","16.67"
"127","San Marino","","","-","16.67"
"127","Micronesia, Federated States of","","","-","16.67"
"127","Palau","","","-","16.67"
"127","Marshall Islands","","","-","16.67"
"127","Kosovo","","","-","16.67"
"127","Liechtenstein","","","-","16.67"
"127","Korea, Democratic People's Republic of","","","-","16.67"
"127","Palestinian Territory, Occupied","","","-","16.67"
"127","Andorra","","","-","16.67"
"127","Somalia","","","-","16.67"
"127","Tuvalu","","","-","16.67"
"127","Cayman Islands","","","-","16.67"
"127","French Polynesia","","","-","16.67"
"127","New Caledonia","","","-","16.67"
"127","Anguilla","","","-","16.67"
"127","Réunion","","","-","16.67"
"127","Curaçao","","","-","16.67"
"127","Mauritania","","","-","16.67"
"127","Sierra Leone","","","-","16.67"
"127","Saint Lucia","","","-","16.67"
"127","Chad","","","-","16.67"
"127","Congo","","","-","16.67"
"127","Afghanistan","","","-","16.67"
"127","Liberia","","","-","16.67"
"127","Suriname","","","-","16.67"
"127","Samoa","","","-","16.67"
"127","Monaco","","","-","16.67"
"127","Montserrat","","","-","16.67"
"127","Faroe Islands","","","-","16.67"
"127","Guam","","","-","16.67"
"127","Nauru","","","-","16.67"
"127","Haiti","","","-","16.67"
