"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","","Strength","-","69.06"
"2","Netherlands","","Strength","-","62.88"
"3","Sweden","","Strength","-","62.51"
"4","China","","Strength","-","56.39"
"5","Ireland","","Strength","-","55.88"
"6","Korea, Republic of","","","-","54.73"
"7","United States of America","","","-","54.38"
"8","Germany","","","-","51.06"
"9","Israel","","","-","49.63"
"10","Finland","","","-","48.79"
"11","Singapore","","","-","47.33"
"12","Japan","","","-","47.15"
"13","United Kingdom","","","-","46.49"
"14","Czech Republic","","Strength","-","45.83"
"15","Luxembourg","","","-","45.02"
"16","Denmark","","","-","43.93"
"17","Cyprus","","","-","41.31"
"18","Iceland","","","-","39.91"
"19","Canada","","","-","38.66"
"20","France","","","-","38.50"
"21","Austria","","","-","38.21"
"22","Norway","","","-","37.50"
"23","Malta","","","-","36.56"
"24","Spain","","","-","36.27"
"25","Hong Kong (China)","","","-","36.21"
"26","Italy","","","-","36.13"
"27","Estonia","","","-","36.11"
"28","Viet Nam","","Strength","-","35.05"
"29","New Zealand","","","-","34.20"
"30","Slovakia","","","-","33.55"
"31","Belgium","","","-","33.24"
"32","Ukraine","","","-","32.76"
"33","Hungary","","","-","32.34"
"34","Australia","","","-","32.06"
"35","Bulgaria","","","-","32.02"
"36","Malaysia","","","-","31.70"
"37","Romania","","","-","30.98"
"38","India","","","-","30.31"
"39","Portugal","","","-","29.95"
"40","Thailand","","","-","29.83"
"41","Kuwait","","","-","29.74"
"42","Philippines","","","-","28.31"
"43","Slovenia","","","-","28.04"
"44","Poland","","","-","27.89"
"45","Russian Federation","","","-","27.59"
"46","Turkey","","","-","27.55"
"47","Iran, Islamic Republic of","","","-","26.74"
"48","Latvia","","","-","26.53"
"49","Chile","","","-","26.05"
"50","Armenia","","","-","25.70"
"51","Croatia","","","-","25.39"
"52","Moldova, Republic of","","","-","25.39"
"53","Serbia","","","-","24.69"
"54","Georgia","","","-","23.92"
"55","Qatar","","","-","23.14"
"56","Trinidad and Tobago","","Strength","-","22.55"
"57","Montenegro","","","-","22.48"
"58","Tajikistan","","Strength","-","22.39"
"59","Costa Rica","","","-","22.10"
"60","Panama","","","-","21.75"
"61","Belarus","","","-","21.72"
"62","Saudi Arabia","","","-","21.65"
"63","Kenya","","","-","21.60"
"64","Mexico","","","-","21.52"
"65","South Africa","","","-","21.52"
"66","Lithuania","","","-","21.27"
"67","Mongolia","","","-","21.09"
"68","Sri Lanka","","","-","21.03"
"69","Tunisia","","","-","20.96"
"70","Indonesia","","","-","20.90"
"71","United Arab Emirates","","","-","20.89"
"72","Mozambique","","Strength","-","20.80"
"73","Bahrain","","","-","20.80"
"74","Greece","","","-","20.40"
"75","Cote dIvoire","","","-","20.38"
"76","Uruguay","","","-","20.33"
"77","Morocco","","","-","20.27"
"78","Niger","","","-","19.69"
"79","Jordan","","","-","19.33"
"80","Mali","","","-","19.15"
"81","Colombia","","","-","19.07"
"82","Lebanon","","","-","19.06"
"83","TFYR Macedonia","","","-","18.94"
"84","Pakistan","","","-","18.88"
"85","Brazil","","","-","18.87"
"86","Senegal","","","-","18.39"
"87","Kyrgyzstan","","","-","18.26"
"88","Kazakhstan","","","-","17.84"
"89","Argentina","","","-","17.61"
"90","Cambodia","","","-","17.37"
"91","Dominican Republic","","","-","17.23"
"92","Bosnia and Herzegovina","","","-","17.20"
"93","Egypt","","","-","16.99"
"94","Tanzania, United Republic of","","","-","16.64"
"95","Zambia","","","-","16.14"
"96","Bangladesh","","","-","16.05"
"97","Peru","","","-","15.79"
"98","Malawi","","","-","15.79"
"99","Bolivia, Plurinational State of","","","-","15.62"
"100","Oman","","","-","15.61"
"101","Cameroon","","","-","15.59"
"102","Botswana","","","-","15.58"
"103","Uganda","","","-","15.56"
"104","Azerbaijan","","","-","15.38"
"105","Ethiopia","","","-","15.32"
"106","Burkina Faso","","","-","15.14"
"107","Algeria","","","-","14.44"
"108","Jamaica","","","-","14.36"
"109","Ecuador","","","-","14.29"
"110","Zimbabwe","","","-","14.02"
"111","Guatemala","","","-","13.90"
"112","Nepal","","","-","13.65"
"113","Madagascar","","","-","13.62"
"114","Brunei Darussalam","","Weakness","-","13.62"
"115","Mauritius","","Weakness","-","13.59"
"116","Togo","","","-","12.50"
"117","Honduras","","Weakness","-","12.40"
"118","Albania","","Weakness","-","11.36"
"119","Nigeria","","","-","9.91"
"120","Paraguay","","Weakness","-","9.53"
"121","El Salvador","","Weakness","-","9.29"
"122","Benin","","Weakness","-","8.52"
"123","Namibia","","Weakness","-","7.87"
"124","Burundi","","","-","7.86"
"125","Rwanda","","Weakness","-","7.69"
"126","Yemen","","","-","6.80"
"127","Guinea","","Weakness","-","6.47"
