"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Luxembourg","","Strength","-","65.85"
"2","Iceland","","Strength","-","62.93"
"3","Switzerland","","Strength","-","62.50"
"4","United Kingdom","","Strength","-","60.54"
"5","Netherlands","","Strength","-","58.97"
"6","Malta","","Strength","-","56.02"
"7","Germany","","","-","55.85"
"8","Estonia","","Strength","-","53.63"
"9","Denmark","","","-","53.48"
"10","United States of America","","","-","53.48"
"11","Sweden","","","-","53.33"
"12","France","","","-","51.38"
"13","Ireland","","","-","50.94"
"14","Latvia","","Strength","-","49.42"
"15","Korea, Republic of","","","-","49.40"
"16","New Zealand","","","-","48.98"
"17","Austria","","","-","48.34"
"18","Finland","","","-","47.32"
"19","Belgium","","","-","47.10"
"20","Norway","","","-","47.08"
"21","Portugal","","","-","46.66"
"22","Czech Republic","","","-","46.66"
"23","Slovenia","","","-","46.37"
"24","Australia","","","-","46.05"
"25","Hong Kong (China)","","","-","45.42"
"26","China","","","-","45.35"
"27","Canada","","","-","44.80"
"28","Spain","","","-","44.40"
"29","Bulgaria","","","-","44.13"
"30","Israel","","","-","43.87"
"31","Turkey","","","-","43.42"
"32","Singapore","","","-","42.94"
"33","Italy","","","-","42.87"
"34","Mongolia","","","-","42.02"
"35","Slovakia","","","-","40.85"
"36","Japan","","","-","40.83"
"37","Poland","","","-","39.66"
"38","Lithuania","","","-","39.57"
"39","Moldova, Republic of","","","-","39.27"
"40","Costa Rica","","","-","38.29"
"41","Cyprus","","","-","38.19"
"42","Hungary","","","-","37.92"
"43","Croatia","","","-","37.87"
"44","Armenia","","","-","37.50"
"45","Malaysia","","","-","37.29"
"46","Paraguay","","Strength","-","36.45"
"47","United Arab Emirates","","","-","36.14"
"48","Montenegro","","","-","36.12"
"49","Ukraine","","","-","35.62"
"50","Panama","","","-","35.59"
"51","Greece","","","-","35.53"
"52","Viet Nam","","","-","34.80"
"53","Thailand","","","-","34.60"
"54","Qatar","","","-","34.54"
"55","Kuwait","","","-","34.07"
"56","TFYR Macedonia","","","-","33.70"
"57","Romania","","","-","32.93"
"58","Mexico","","","-","32.62"
"59","Chile","","","-","32.14"
"60","Dominican Republic","","","-","31.85"
"61","Mauritius","","","-","31.42"
"62","Russian Federation","","","-","31.03"
"63","Uruguay","","","-","30.86"
"64","Tanzania, United Republic of","","Strength","-","30.62"
"65","Iran, Islamic Republic of","","","-","30.20"
"66","Ecuador","","","-","30.11"
"67","Jamaica","","","-","29.70"
"68","Morocco","","","-","29.42"
"69","Georgia","","","-","29.31"
"70","Serbia","","","-","29.11"
"71","Bahrain","","","-","29.05"
"72","Jordan","","","-","28.59"
"73","Colombia","","","-","28.56"
"74","Saudi Arabia","","","-","28.35"
"75","Namibia","","","-","28.34"
"76","Tunisia","","","-","28.28"
"77","Indonesia","","","-","28.14"
"78","South Africa","","","-","27.96"
"79","Kenya","","","-","27.83"
"80","Argentina","","","-","27.63"
"81","Lebanon","","","-","27.50"
"82","Peru","","","-","27.40"
"83","Brazil","","","-","26.58"
"84","Guatemala","","","-","25.96"
"85","India","","","-","25.90"
"86","Sri Lanka","","","-","25.82"
"87","Azerbaijan","","","-","25.54"
"88","Madagascar","","","-","25.43"
"89","El Salvador","","","-","25.33"
"90","Ethiopia","","","-","25.01"
"91","Oman","","","-","24.77"
"92","Cambodia","","","-","24.44"
"93","Honduras","","","-","23.51"
"94","Philippines","","","-","22.83"
"95","Kazakhstan","","","-","21.86"
"96","Bolivia, Plurinational State of","","","-","21.70"
"97","Egypt","","","-","21.64"
"98","Bosnia and Herzegovina","","","-","21.43"
"99","Benin","","","-","21.05"
"100","Albania","","","-","20.02"
"101","Trinidad and Tobago","","","-","20.00"
"102","Nigeria","","","-","19.90"
"103","Rwanda","","","-","19.62"
"104","Senegal","","","-","19.57"
"105","Brunei Darussalam","","","-","19.40"
"106","Tajikistan","","","-","19.23"
"107","Uganda","","","-","18.89"
"108","Cote dIvoire","","","-","18.69"
"109","Nepal","","","-","18.15"
"110","Bangladesh","","","-","17.55"
"111","Kyrgyzstan","","","-","17.45"
"112","Pakistan","","","-","17.44"
"113","Zimbabwe","","","-","17.21"
"114","Botswana","","Weakness","-","17.13"
"115","Burundi","","","-","16.94"
"116","Algeria","","","-","16.68"
"117","Cameroon","","","-","16.66"
"118","Malawi","","","-","16.52"
"119","Mozambique","","","-","16.48"
"120","Zambia","","Weakness","-","14.90"
"121","Mali","","","-","14.48"
"122","Guinea","","","-","13.46"
"123","Belarus","","Weakness","-","11.72"
"124","Yemen","","","-","11.01"
"125","Togo","","Weakness","-","3.54"
"126","Niger","","Weakness","-","2.67"
"127","Burkina Faso","","Weakness","-","1.76"
